RegionName,Zhvi,Parking Tickets,Per capita income,Retail,Services,Bars/Restaurants,Financial Institutions,Manufacturing,Wholesale/Distribution,Construction,Healthcare,Technology,Durable Goods,Public Administration,Membership Organization,Education,Transportation,Utilities,Hospitality,Real Estate,Entertainment,Business Services,Totals
60606,411900,141," 100,377 ",221,652,145,146,1,0,2,2,3,1,4,1,0,37,0,1,0,8,0," 1,224 "
60611,351700,752," 69,889 ",657,686,539,56,0,0,5,21,4,4,54,3,1,177,1,53,0,20,0," 2,281 "
60614,433200,1986," 68,324 ",620,639,455,18,7,1,4,40,0,9,50,3,7,48,1,9,0,12,1," 1,924 "
60655,238900,290," 59,849 ",75,135,36,4,2,0,1,5,0,1,2,1,0,0,1,0,0,7,0, 270 
60646,388600,457," 58,232 ",100,248,39,10,6,1,0,9,0,0,0,0,2,3,0,2,0,3,1, 424 
60605,282800,709," 56,151 ",210,266,188,34,1,0,0,16,1,3,29,1,3,54,0,11,0,10,0, 827 
60657,354000,2013," 55,647 ",521,527,449,16,4,2,5,57,1,6,62,0,4,43,3,6,0,8,2," 1,716 "
60631,336200,365," 55,316 ",102,260,60,9,5,0,3,11,0,4,7,1,0,11,0,4,0,3,0, 480 
60661,323400,287," 54,698 ",160,275,161,29,0,1,1,1,0,1,13,0,1,36,1,4,0,9,4, 697 
60652,173100,1226," 53,120 ",171,262,61,8,4,2,1,4,0,0,3,2,5,1,0,2,0,0,0, 526 
60643,147600,1793," 51,305 ",226,313,68,21,4,0,1,11,0,2,3,1,11,0,0,1,0,4,1, 667 
60610,296200,1585," 51,294 ",334,463,305,22,2,1,1,34,0,3,44,1,0,74,0,9,3,21,1," 1,318 "
60634,269500,1713," 50,042 ",385,536,143,17,10,2,1,12,2,2,7,0,6,6,0,0,1,5,0," 1,135 "
60613,229200,1731," 48,381 ",338,359,243,20,8,1,0,31,1,1,39,1,3,41,0,1,0,14,0," 1,101 "
60630,298800,1560," 47,905 ",285,516,93,13,23,6,1,6,0,2,6,2,1,7,4,0,0,3,3, 971 
60656,287200,522," 47,512 ",71,143,25,6,1,0,1,5,1,0,1,0,3,1,0,0,0,3,1, 262 
60638,216100,1085," 45,173 ",225,339,142,3,24,6,1,6,1,2,5,3,0,11,0,2,0,6,0, 776 
60659,277000,2024," 45,064 ",346,406,116,15,0,3,0,4,1,0,4,1,8,2,0,6,0,3,2, 917 
60641,278400,3189," 42,182 ",342,677,133,14,34,8,1,16,3,2,7,0,3,3,5,0,0,2,2," 1,252 "
60645,214500,1951," 41,438 ",114,172,40,8,2,1,1,7,0,0,2,0,2,1,0,0,2,3,1, 356 
60618,395300,4279," 41,355 ",602,850,298,40,19,14,7,40,0,2,13,3,3,10,1,0,4,6,4," 1,916 "
60607,356600,1390," 40,972 ",328,511,352,54,17,19,9,23,0,4,36,0,4,83,2,5,0,16,1," 1,464 "
60633,112000,251," 40,792 ",26,46,20,0,9,2,0,1,0,0,2,1,0,0,0,0,0,1,0, 108 
60629,170100,5342," 40,279 ",475,431,102,16,13,3,0,6,0,1,2,1,4,2,1,1,0,1,1," 1,060 "
60639,233700,4996," 40,165 ",659,944,198,25,95,27,4,11,0,0,10,2,5,3,3,0,0,2,0," 1,988 "
60625,296100,3255," 40,083 ",516,479,219,28,2,1,0,11,1,3,10,3,4,10,0,3,2,6,0," 1,298 "
60622,448100,3009," 38,487 ",533,557,365,26,18,2,4,34,1,5,31,2,1,11,2,0,3,7,1," 1,603 "
60632,176800,4389," 37,406 ",549,694,172,13,75,53,2,5,2,0,10,1,2,4,2,3,0,7,0," 1,594 "
60620,127000,3668," 36,334 ",329,366,68,7,7,5,2,5,0,0,1,0,6,0,0,2,0,2,0, 800 
60647,395900,4363," 35,283 ",682,747,461,22,19,5,19,25,5,4,36,1,8,13,1,6,2,6,2," 2,064 "
60660,203300,1468," 34,293 ",216,238,111,8,2,1,0,7,0,0,8,0,1,7,0,2,0,6,1, 608 
60619,130800,3818," 33,631 ",346,308,83,14,5,5,0,3,0,1,4,1,8,1,0,3,0,0,0, 782 
60651,162100,3991," 32,622 ",361,406,49,11,63,7,2,3,0,1,1,1,6,0,2,0,1,0,0, 914 
60640,237400,2548," 32,466 ",457,513,235,21,11,8,1,19,1,4,21,2,6,9,5,1,0,18,0," 1,332 "
60615,191100,2310," 31,571 ",152,158,96,21,0,0,4,2,7,1,8,1,0,11,1,3,0,0,0, 465 
60626,176500,2602," 31,318 ",256,201,152,11,1,0,0,6,2,2,10,0,4,6,1,4,0,5,1, 662 
60616,278100,2188," 30,625 ",341,452,234,29,14,23,4,14,2,4,24,1,7,28,1,7,3,12,2," 1,202 "
60608,256900,3795," 28,026 ",514,790,263,25,58,105,4,11,7,0,13,3,6,9,2,2,1,5,14," 1,832 "
60609,164900,3567," 25,705 ",454,646,153,13,77,59,2,3,0,0,4,3,1,7,0,0,0,2,0," 1,424 "
60612,261200,2269," 25,143 ",187,345,98,17,51,40,1,17,2,2,3,0,3,57,2,1,0,6,1, 833 
60637,133200,3133," 23,228 ",180,173,56,8,4,0,0,10,1,0,5,1,5,26,0,1,2,3,0, 475 
60624,127400,2726," 22,426 ",226,171,29,4,35,12,2,4,0,0,3,1,1,1,2,0,0,5,0, 496 
60653,232500,2282," 14,205 ",134,154,42,9,0,0,0,13,1,0,5,0,1,2,0,3,2,0,1, 367 
