Zhvi,Parking Tickets,Per capita income,Retail
411900,141,100377,221
351700,752,69889,657
433200,1986,68324,620
238900,290,59849,75
388600,457,58232,100
282800,709,56151,210
354000,2013,55647,521
336200,365,55316,102
323400,287,54698,160
173100,1226,53120,171
147600,1793,51305,226
296200,1585,51294,334
269500,1713,50042,385
229200,1731,48381,338
298800,1560,47905,285
287200,522,47512,71
216100,1085,45173,225
277000,2024,45064,346
278400,3189,42182,342
214500,1951,41438,114
395300,4279,41355,602
356600,1390,40972,328
112000,251,40792,26
170100,5342,40279,475
233700,4996,40165,659
296100,3255,40083,516
448100,3009,38487,533
176800,4389,37406,549
127000,3668,36334,329
395900,4363,35283,682
203300,1468,34293,216
130800,3818,33631,346
162100,3991,32622,361
237400,2548,32466,457
191100,2310,31571,152
176500,2602,31318,256
278100,2188,30625,341
256900,3795,28026,514
164900,3567,25705,454
261200,2269,25143,187
133200,3133,23228,180
127400,2726,22426,226
232500,2282,14205,134
